"Time","Line","tsNs","id","traceid","app","container","detected_level","instance","job","namespace","node_name","pod","service_name"
1776813784917,"2026-04-22 05:53:04 ERROR    {transferId=01KPS5N0K4SDAMW3PZXP47KVGS} http-nio-3003-exec-68:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:550:(doConfirmationForTransfer) - Transfer Error Response from payee cc for transferId 01KPS5N0K4SDAMW3PZXP47KVGS : 5100:Payee or Payee FSP rejected the request.
",1776813784917696129,1776813784917696129_107e270d,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-wfwkt:mojaloop-core-connector,/,orange,ip-10-230-2-218,orange-mojaloop-core-connector-5f9c8cc997-wfwkt,mojaloop-core-connector
1776807212154,"2026-04-22 04:03:32 ERROR    {transferId=01KPRZBXV4H8HMHZ6PBRF3B2ZN} http-nio-3003-exec-26:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:540:(doConfirmationForTransfer) - Transfer Error Response from payee cc for transferId 01KPRZBXV4H8HMHZ6PBRF3B2ZN : ""java.net.SocketTimeoutException: Read timed out""
",1776807212154157791,1776807212154157791_fb946148,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-wfwkt:mojaloop-core-connector,/,orange,ip-10-230-2-218,orange-mojaloop-core-connector-5f9c8cc997-wfwkt,mojaloop-core-connector
1776807187093,"2026-04-22 04:03:07 ERROR    {transferId=01KPRZANJ5HV3RC7BQBZ8H6VXH} http-nio-3003-exec-62:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:540:(doConfirmationForTransfer) - Transfer Error Response from payee cc for transferId 01KPRZANJ5HV3RC7BQBZ8H6VXH : ""java.net.SocketTimeoutException: Read timed out""
",1776807187093411913,1776807187093411913_98f9613c,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-wfwkt:mojaloop-core-connector,/,orange,ip-10-230-2-218,orange-mojaloop-core-connector-5f9c8cc997-wfwkt,mojaloop-core-connector
1776806798050,"2026-04-22 03:56:38 ERROR    {transferId=01KPRYYFWK35ZFV1FHFX641JAD} http-nio-3003-exec-71:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:540:(doConfirmationForTransfer) - Transfer Error Response from payee cc for transferId 01KPRYYFWK35ZFV1FHFX641JAD : ""java.net.SocketTimeoutException: timeout""
",1776806798050137197,1776806798050137197_a24fe769,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-wfwkt:mojaloop-core-connector,/,orange,ip-10-230-2-218,orange-mojaloop-core-connector-5f9c8cc997-wfwkt,mojaloop-core-connector
1776806788908,"2026-04-22 03:56:28 ERROR    {transferId=01KPRYY566GRHYSP2MKTNX3XMX} http-nio-3003-exec-70:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:540:(doConfirmationForTransfer) - Transfer Error Response from payee cc for transferId 01KPRYY566GRHYSP2MKTNX3XMX : ""java.net.SocketTimeoutException: timeout""
",1776806788908463752,1776806788908463752_2ea3d429,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-wfwkt:mojaloop-core-connector,/,orange,ip-10-230-2-218,orange-mojaloop-core-connector-5f9c8cc997-wfwkt,mojaloop-core-connector
1776806776917,"2026-04-22 03:56:16 ERROR    {transferId=01KPRYYDMPCNJ1F6SVJ2E5GWR0} http-nio-3003-exec-54:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:540:(doConfirmationForTransfer) - Transfer Error Response from payee cc for transferId 01KPRYYDMPCNJ1F6SVJ2E5GWR0 : ""java.net.SocketTimeoutException: timeout""
",1776806776917289566,1776806776917289566_ac2973a2,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-wfwkt:mojaloop-core-connector,/,orange,ip-10-230-2-218,orange-mojaloop-core-connector-5f9c8cc997-wfwkt,mojaloop-core-connector
1776806718279,"2026-04-22 03:55:18 ERROR    {transferId=01KPRYWQP9Y8CBQ1VTN3VGS3KQ} http-nio-3003-exec-60:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:540:(doConfirmationForTransfer) - Transfer Error Response from payee cc for transferId 01KPRYWQP9Y8CBQ1VTN3VGS3KQ : ""java.net.SocketTimeoutException: timeout""
",1776806718279010238,1776806718279010238_92f44bd6,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-wfwkt:mojaloop-core-connector,/,orange,ip-10-230-2-218,orange-mojaloop-core-connector-5f9c8cc997-wfwkt,mojaloop-core-connector
1776806626629,"2026-04-22 03:53:46 ERROR    {transferId=01KPRYSTMRHPHGH708Q15X50EP} http-nio-3003-exec-71:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:540:(doConfirmationForTransfer) - Transfer Error Response from payee cc for transferId 01KPRYSTMRHPHGH708Q15X50EP : ""java.net.SocketTimeoutException: Read timed out""
",1776806626629609995,1776806626629609995_165bfb57,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-wfwkt:mojaloop-core-connector,/,orange,ip-10-230-2-218,orange-mojaloop-core-connector-5f9c8cc997-wfwkt,mojaloop-core-connector
1776806588508,"2026-04-22 03:53:08 ERROR    {transferId=01KPRYR8KZZ9ZFQY9BCYMBPRGP} http-nio-3003-exec-65:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:540:(doConfirmationForTransfer) - Transfer Error Response from payee cc for transferId 01KPRYR8KZZ9ZFQY9BCYMBPRGP : ""java.net.SocketTimeoutException: Read timed out""
",1776806588508855433,1776806588508855433_274b32a8,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-wfwkt:mojaloop-core-connector,/,orange,ip-10-230-2-218,orange-mojaloop-core-connector-5f9c8cc997-wfwkt,mojaloop-core-connector
1776806557511,"2026-04-22 03:52:37 ERROR    {transferId=01KPRYQW4K7RPF7Q8SS5JBJNBB} http-nio-3003-exec-68:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:540:(doConfirmationForTransfer) - Transfer Error Response from payee cc for transferId 01KPRYQW4K7RPF7Q8SS5JBJNBB : ""java.net.SocketTimeoutException: timeout""
",1776806557511282826,1776806557511282826_ff42e026,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-wfwkt:mojaloop-core-connector,/,orange,ip-10-230-2-218,orange-mojaloop-core-connector-5f9c8cc997-wfwkt,mojaloop-core-connector
1776806342483,"2026-04-22 03:49:02 ERROR    {transferId=01KPRYHM7WHTH331KD4X69ZTZZ} http-nio-3003-exec-68:com.thitsaworks.mojaloop.coreconnector.cc.to.orange.OrangeClientImpl:540:(doConfirmationForTransfer) - Transfer Error Response from payee cc for transferId 01KPRYHM7WHTH331KD4X69ZTZZ : ""java.net.SocketTimeoutException: Read timed out""
",1776806342483635309,1776806342483635309_9df4f78e,,mojaloop-core-connector,mojaloop-core-connector,error,orange/orange-mojaloop-core-connector-5f9c8cc997-wfwkt:mojaloop-core-connector,/,orange,ip-10-230-2-218,orange-mojaloop-core-connector-5f9c8cc997-wfwkt,mojaloop-core-connector
