No,Transfer_ID,Date,Time,Error Message,Assignee,Dispute Side
1,01KPQRQWNQWGV5K49V2WFSF6NG,04/21/2026,10:18:12,API Call execution failed,HanZar,Orn
2,01KPR84BD2VYX2VDCXRZS869A0,04/21/2026,14:47:36,java.net.SocketTimeoutException: timeout,HanZar,Orn
3,01KPRAZ6K41H87AR0NW77ABBMY,04/21/2026,15:36:47,API Call execution failed,HanZar,Orn
4,01KPRMGCMT7B043YQB42SBZEPJ,04/21/2026,18:23:25,Unknown MSISDN,HanZar,Orn
5,01KPRMHTDY59ZF7446574XSQPD,04/21/2026,18:24:21,java.net.SocketTimeoutException: timeout,HanZar,Orn
6,01KPRMHTY48DSGKKEMQ5KRCHTY,04/21/2026,18:24:37,java.net.SocketTimeoutException: timeout,HanZar,Orn
7,01KPRMPBRPZ3MPVR05RHXT43ZV,04/21/2026,18:26:46,java.net.SocketTimeoutException: timeout,HanZar,Orn
8,01KPRQ5RJVJ6Z9AJ95AGMQFN23,04/21/2026,19:10:13,java.net.SocketTimeoutException: timeout,HanZar,Orn
9,01KPRRMESDTH7703S6PZV09ZSP,04/21/2026,19:35:41,Unknown MSISDN,HanZar,Orn
10,01KPRSSZMK079W8AXTQYPRWX9X,04/21/2026,19:56:10,java.net.SocketTimeoutException: timeout,HanZar,Orn
11,01KPRT3GDPBS16SNPMWBWA9638,04/21/2026,20:02:00,java.net.SocketTimeoutException: timeout,HanZar,Orn
12,01KPRT54S7EF28B4VR34DZ6F2J,04/21/2026,20:02:26,java.net.SocketTimeoutException: Read timed out,HanZar,Orn
13,01KPRT5E6VRKFCD5283B50M95W,04/21/2026,20:02:32,java.net.SocketTimeoutException: Connect timed out,HanZar,Orn
14,01KPRTM0BGG58FW9J8C0GRPS48,04/21/2026,20:10:52,java.net.SocketTimeoutException: timeout,HanZar,Orn
15,01KPRTPQXXJ8GHEPE1FDT3WW4X,04/21/2026,20:12:16,java.net.SocketTimeoutException: Read timed out,HanZar,Orn
